Name,State,Notes,User,Tags,Created,Runtime,Sweep,Accuracy,Average Inference Time (ms),Dataset Name,GPU Memory Usage (MB),Max Swap Memory Usage (MB),Model Size (MB)
EleutherAI/pythia-410m in openbookqa,finished,-,,"EleutherAI/pythia-410m, NVIDIA A100-SXM4-80GB, openbookqa",2025-02-03T11:40:05.000Z,13,,25,16.156374979019166,openbookqa,1730.555176,0,1546.226563
EleutherAI/pythia-410m in winogrande,finished,-,,"EleutherAI/pythia-410m, NVIDIA A100-SXM4-80GB, winogrande",2025-02-03T11:39:34.000Z,22,,49.4,16.47767657661438,winogrande,1692.616699,0,1546.226563
facebook/opt-350m in piqa,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-350m, piqa",2025-02-03T11:38:28.000Z,19,,49.9,12.333946859359742,piqa,1462.922363,0,1263.414063
facebook/opt-350m in boolq,finished,-,,"NVIDIA A100-SXM4-80GB, boolq, facebook/opt-350m",2025-02-03T11:38:00.000Z,23,,38.4,16.04436989402771,boolq,1466.734375,0,1263.414063
facebook/opt-350m in social_i_qa,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-350m, social_i_qa",2025-02-03T11:37:34.000Z,19,,32.6,12.582839318275452,social_i_qa,1320.720215,0,1263.414063
facebook/opt-350m in allenai/ai2_arc,finished,-,,"NVIDIA A100-SXM4-80GB, allenai/ai2_arc, facebook/opt-350m",2025-02-03T11:37:16.000Z,13,,26.31578947368421,12.51735263456378,allenai/ai2_arc,1339.400391,0,1263.414063
facebook/opt-350m in openbookqa,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-350m, openbookqa",2025-02-03T11:36:58.000Z,12,,24.8,13.722093561172484,openbookqa,1324.913574,0,1263.414063
facebook/opt-350m in winogrande,finished,-,,"NVIDIA A100-SXM4-80GB, facebook/opt-350m, winogrande",2025-02-03T11:36:33.000Z,17,,49.3,11.821705234527588,winogrande,1393.05127,0,1263.414063
HuggingFaceTB/SmolLM-360M in piqa,finished,-,,"HuggingFaceTB/SmolLM-360M, NVIDIA A100-SXM4-80GB, piqa",2025-02-03T11:35:43.000Z,35,,52.5,28.653676597595215,piqa,1528.779785,0,1380.238037109375
HuggingFaceTB/SmolLM-360M in boolq,finished,-,,"HuggingFaceTB/SmolLM-360M, NVIDIA A100-SXM4-80GB, boolq",2025-02-03T11:35:03.000Z,35,,39.7,27.793884147644043,boolq,1530.934082,0,1380.238037109375
HuggingFaceTB/SmolLM-360M in social_i_qa,finished,-,,"HuggingFaceTB/SmolLM-360M, NVIDIA A100-SXM4-80GB, social_i_qa",2025-02-03T11:34:22.000Z,34,,34.300000000000004,27.012431871414183,social_i_qa,1428.34668,0,1380.238037109375
HuggingFaceTB/SmolLM-360M in allenai/ai2_arc,finished,-,,"HuggingFaceTB/SmolLM-360M, NVIDIA A100-SXM4-80GB, allenai/ai2_arc",2025-02-03T11:33:56.000Z,22,,21.75438596491228,27.51742028353507,allenai/ai2_arc,1439.371582,0,1380.238037109375
